"Age","spBrand","spAge","spWBUseFreq","spSEUseFreq","spComfInstallBrowser","spComfDefaultBrowserChange","spComfDefaultSearchChange","Sex","GUID","spComfInstallBrowser_recode","spComfDefaultBrowserChange_recode","spComfDefaultSearchChange_recode","Ethnicity","Education","Income","spComfort"
49,16,4,3,3,4,4,4,1,"1aec3128-ba85-1849-29aa-06c7fb40bdc1",3,3,3,"White","High School/Tertiary/Tech. College","",3
49,NA,NA,NA,NA,2,3,3,1,"1b04d7ac-dd9a-3d2d-db2e-e02f128cd644",1,2,2,"White","None completed","$0 - $14,999",1.66666666666667
56,16,1,5,5,3,3,3,2,"1b2a2fe4-a0e8-18d7-9d66-1801249df409",2,2,2,"White","High School/Tertiary/Tech. College","",2
60,NA,NA,NA,NA,NA,NA,NA,1,"1baf9568-5929-0199-21ea-a2846a885485",NA,NA,NA,"White","University/Higher Education","$100,000 - $149,999",NA
52,16,2,1,1,5,3,3,1,"1bc9befe-d5ed-2e0a-0d7c-89e28d065213",4,2,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2.66666666666667
25,1,3,1,1,4,4,4,1,"1be2beca-9d02-9f70-2648-89c9efd0592d",3,3,3,"Black or African American","University/Higher Education","$50,000 - $79,999",3
19,NA,NA,NA,NA,3,3,2,1,"1c40ecd7-9261-daa6-8455-db6b1d839630",2,2,1,"Black or African American","High School/Tertiary/Tech. College","",1.66666666666667
32,NA,NA,NA,NA,2,2,2,2,"1c5e9e20-7d0b-4874-0ea1-a975c4590cc7",1,1,1,"","University/Higher Education","",1
45,1,3,4,2,3,3,4,1,"1c6b5645-058e-0662-e3c7-61406f2315a8",2,2,3,"Black or African American","High School/Tertiary/Tech. College","$15,000 - $24,999",2.33333333333333
27,1,1,1,1,5,4,4,1,"1c8c67a2-acef-892c-5320-50a70efd544a",4,3,3,"White","University/Higher Education","$50,000 - $79,999",3.33333333333333
21,5,1,1,1,5,4,4,2,"1cd3d002-e138-fa13-1780-e7f8856e26ef",4,3,3,"Black or African American","High School/Tertiary/Tech. College","",3.33333333333333
33,1,4,1,1,4,4,4,2,"1d0267b9-3520-9288-c63b-50294017f15e",3,3,3,"White","University/Higher Education","",3
44,NA,NA,NA,NA,1,1,1,2,"1d1d3f6c-5d40-03b1-d9ee-0836747fbd8b",0,0,0,"White","University/Higher Education","",0
36,1,2,1,1,4,4,4,1,"1d2b4698-a5b7-ba76-f41a-71003d474970",3,3,3,"White","University/Higher Education","$50,000 - $79,999",3
50,NA,NA,NA,NA,4,4,4,2,"1dd44e0a-1157-24d3-0f88-79ff4cc2f6e2",3,3,3,"White","High School/Tertiary/Tech. College","",3
39,16,3,3,3,3,3,3,1,"1df2e16c-2b6a-7fa1-7cee-d6d944f77085",2,2,2,"White","University/Higher Education","$15,000 - $24,999",2
72,1,3,1,2,3,4,4,1,"1e29e822-1712-68e4-eda0-df0254abd0cf",2,3,3,"White","University/Higher Education","$150,000 - $199,999",2.66666666666667
64,NA,NA,NA,NA,NA,NA,NA,1,"1edb3466-4ce5-35d8-51e4-03f0d49f1b97",NA,NA,NA,"White","University/Higher Education","$50,000 - $79,999",NA
65,NA,NA,NA,NA,3,3,3,2,"1efa15ca-435b-aea0-3e48-22d138bc8226",2,2,2,"White","University/Higher Education","",2
52,16,2,1,1,5,5,5,1,"1f5091e4-da0f-ea26-8e66-a67b4f883008",4,4,4,"White","High School/Tertiary/Tech. College","$0 - $14,999",4
41,4,2,1,1,5,5,5,2,"1fe29b33-143e-787b-38b1-acc9eb23d5df",4,4,4,"Black or African American","University/Higher Education","$25,000 - $49,999",4
47,NA,NA,NA,NA,3,3,3,1,"20004c99-e1af-174d-881b-7b2b46fef47e",2,2,2,"White","University/Higher Education","$100,000 - $149,999",2
58,1,2,1,2,3,3,3,2,"2010cb82-8588-22d8-cf00-fc3bd6ab0668",2,2,2,"White","University/Higher Education","$25,000 - $49,999",2
31,17,6,1,1,5,4,4,2,"20b0b553-e606-27c7-b6d2-829bb6af23b4",4,3,3,"I prefer not to answer","University/Higher Education","$80,000 - $99,999",3.33333333333333
68,1,1,4,5,1,1,1,1,"20b6e8b7-454c-b7fe-3e35-df9de1974d5a",0,0,0,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",0
57,11,1,1,2,4,4,4,1,"20d569e6-c621-5881-0d64-5efe0b4c3e0d",3,3,3,"Other","High School/Tertiary/Tech. College","$50,000 - $79,999",3
78,1,4,1,1,3,3,3,2,"20dcc289-b803-e4ed-000b-f5f7b6594762",2,2,2,"White","High School/Tertiary/Tech. College","$0 - $14,999",2
63,NA,NA,NA,NA,3,3,3,1,"21091f2a-d68f-f4ee-d6a8-2822178bdad4",2,2,2,"White","University/Higher Education","$15,000 - $24,999",2
72,11,3,4,4,3,2,2,1,"211863a6-13b3-9b9f-dc24-54337087f656",2,1,1,"White","Postgraduate Education","",1.33333333333333
68,16,3,2,2,2,2,2,1,"211c412f-7e23-bba8-d8ad-76372ad499c2",1,1,1,"White","University/Higher Education","$80,000 - $99,999",1
21,16,1,5,2,1,NA,2,1,"215bd99b-da43-f504-9f19-ee700a8f3a73",0,NA,1,"White","Postgraduate Education","",NA
21,1,1,1,1,4,2,2,1,"217c25ce-26ab-2c5a-664f-125787a1ef29",3,1,1,"","High School/Tertiary/Tech. College","",1.66666666666667
20,1,4,5,5,1,5,1,1,"2199853e-d74d-f240-47bc-b2b2ade635d3",0,4,0,"White","University/Higher Education","",1.33333333333333
76,7,4,4,4,3,3,4,1,"21a7021d-cab0-e252-7e9f-358cf2a828f1",2,2,3,"White","High School/Tertiary/Tech. College","$80,000 - $99,999",2.33333333333333
22,NA,NA,NA,NA,1,1,4,1,"21e18e72-3688-a5e8-39f0-b9cac9603685",0,0,3,"Hispanic or Latino","University/Higher Education","$50,000 - $79,999",1
63,16,2,4,4,3,3,3,2,"221aa746-252a-8800-dfc4-9031e8c3e0ab",2,2,2,"White","Secondary School","$15,000 - $24,999",2
37,18,2,3,2,2,2,3,1,"222877cb-ff73-372c-a049-4003b1ceaf23",1,1,2,"White","University/Higher Education","",1.33333333333333
82,7,1,1,1,5,5,5,1,"223122d3-35ce-f782-e851-151aff0fd734",4,4,4,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",4
52,4,1,1,4,2,3,3,2,"229e14e5-9265-9f5b-4767-23b5eec17008",1,2,2,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",1.66666666666667
87,NA,NA,NA,NA,NA,NA,NA,2,"22af0daf-75f3-fa20-762d-3a84d1f77f5f",NA,NA,NA,"Hispanic or Latino","High School/Tertiary/Tech. College","$50,000 - $79,999",NA
39,1,2,1,1,5,5,5,2,"22e3b3ab-649d-5a45-3c29-84c83af48746",4,4,4,"White","University/Higher Education","$150,000 - $199,999",4
59,1,4,2,2,4,3,3,1,"22fe3878-bb6f-30ba-27fa-0fd56c045e9f",3,2,2,"White","University/Higher Education","$15,000 - $24,999",2.33333333333333
33,NA,NA,NA,NA,NA,NA,NA,2,"23080fdf-307e-da5d-cc5d-3823ada8f732",NA,NA,NA,"White","University/Higher Education","$100,000 - $149,999",NA
